,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Syria,10.5,8.5,2.6,1.6,-6.5,7.3,-4.8,1.3,12.7,-6.1,10.4,10.7,13.2,7.4,5.5,5.4,3.0,-1.1,5.6,-3.1,2.3,3.7,5.9,-2.0,6.9,6.2,5.0,5.7,4.5,5.9,3.4,6.2,5.45,5.15,4.25,3.2,3.6,4.45,3.7,3.5,-3.35,4.0,4.449999999999999,3.45,4.108258626132401,3.929267085307112,3.838332875470355,3.9776564899151796,3.8961495577584078
São Tomé and Príncipe,-1.1,-10.3,3.1,-3.9,-6.0,9.3,-5.8,-2.9,2.0,3.1,-2.2,1.2,0.7,1.1,2.2,2.0,1.5,1.0,2.5,2.5,0.4,2.4,2.4,6.6,3.8,7.1,9.1,3.3,8.2,2.4,6.7,4.4,3.1,4.8,6.5,3.8,4.2,3.9,3.0,2.2,3.0,1.9,0.9,2.0,1.557697744198268,1.2388081627931617,1.888177014568929,1.4338685287589041,1.448312438729892
Taiwan Province of China,8.0,7.1,4.8,9.0,10.0,4.8,11.5,12.8,8.0,8.7,5.5,8.4,8.3,6.8,7.5,6.5,6.2,6.1,4.2,6.7,6.3,-1.4,5.5,4.2,7.0,5.4,5.8,6.9,0.8,-1.6,10.2,3.7,2.2,2.5,4.7,1.5,2.2,3.3,2.8,3.1,3.4,6.5,2.5,2.1,4.105056385177731,3.7365739460947553,3.165550467731219,3.4300155543856747,3.552797481400683
Tajikistan,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,-11.1,-21.4,-12.5,-4.4,1.7,5.3,3.7,8.3,10.2,9.1,10.2,10.6,6.7,7.0,7.8,7.9,3.9,6.5,7.4,7.5,7.4,6.7,6.0,6.9,7.1,7.6,7.4,4.4,9.4,8.0,5.0,4.460570675663864,4.460570675663864,4.460570675663864,4.460570675663864,4.460570675663864
Tanzania,3.3,0.5,0.6,2.4,3.4,4.6,6.6,5.9,4.4,3.8,7.0,2.1,0.6,1.2,1.6,3.6,4.5,3.5,3.7,4.8,4.9,6.0,7.2,6.9,7.8,7.4,4.7,8.5,5.6,5.4,6.4,7.9,5.1,6.8,6.7,6.2,6.9,6.8,7.0,7.0,4.8,4.9,4.7,5.2,4.508445274228084,4.569826632738387,4.577215928870574,4.427042948805051,4.2426824464036645
Thailand,4.6,5.9,5.4,5.6,5.8,4.6,5.5,9.5,13.3,12.2,11.6,8.4,9.2,8.7,8.0,8.1,5.7,-2.8,-7.6,4.6,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.2,1.6,2.6,3.4,3.2247950316046694,3.1382935923189943,3.095586475808406,3.0745013029406407,3.0640912225796
Timor-Leste,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,4.2,5.45,5.85,5.3,5.15,3.6,3.8,6.2,16.3,-6.7,-2.2,0.4,3.0,-4.1,10.3,11.4,10.1,9.3,6.0,4.9,3.1,4.5,2.8,3.4,-3.1,-0.7,2.1,-8.3,2.9,3.3,2.2,2.3901060996514465,8.121475021205605,6.675423117000022,7.718436730862481,9.995604121909114
Togo,-2.3,-3.4,-3.7,-5.2,5.9,3.7,3.3,-2.5,10.1,4.1,5.9,-0.6,-3.2,-16.3,13.9,19.7,-3.9,3.8,-2.3,2.5,-1.0,0.8,3.8,6.7,-1.0,-4.7,2.7,-1.2,4.1,5.5,6.1,6.4,6.5,6.1,5.9,5.7,5.6,4.3,5.0,5.5,1.8,5.3,5.4,5.5,2.734090909090909,2.734090909090909,2.734090909090909,2.734090909090909,2.734090909090909
Tonga,15.8,14.0,12.8,5.8,44.1,5.6,8.8,1.7,-3.5,1.1,4.7,5.9,-3.8,-0.1,2.0,7.9,0.1,-0.6,2.3,2.3,3.8,1.5,4.5,0.1,-1.9,-0.4,-2.2,-2.5,4.8,-5.2,0.8,6.8,0.8,0.3,2.0,1.2,6.6,3.3,0.2,0.7,0.5,-2.7,-2.0,2.5,0.47709971816898156,0.47709971816898156,0.47709971816898156,0.47709971816898156,0.47709971816898156
Trinidad and Tobago,10.4,4.6,3.8,-10.3,-5.8,-4.1,-3.3,-4.6,-3.9,-0.8,1.5,3.1,10.1,-0.7,3.6,3.8,7.1,7.5,8.1,8.0,6.9,3.7,7.2,13.9,7.3,5.9,14.2,4.3,3.3,-4.8,3.5,-0.2,4.5,3.8,3.3,-0.8,-6.8,-4.7,-0.9,0.1,-7.7,-1.0,2.5,3.2,2.1435802042647873,2.1435802042647873,2.1435802042647873,2.1435802042647873,2.1435802042647873
Tunisia,7.4,5.5,-0.5,4.7,5.7,5.7,-1.5,6.7,0.1,2.6,7.1,4.1,8.0,2.5,3.6,2.7,6.9,5.7,5.0,6.0,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,3.5,-2.0,4.2,2.4,3.1,1.0,1.1,2.2,2.6,1.6,-8.8,4.4,2.5,1.3,1.510000972748369,1.510000972748369,1.510000972748369,1.510000972748369,1.510000972748369
Turkmenistan,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,-10.0,-17.3,-7.2,-6.7,-11.3,6.7,16.5,18.6,20.4,15.8,17.1,14.7,13.0,11.0,11.1,14.7,6.1,16.2,12.9,6.1,-0.3,3.8,3.0,-1.0,4.7,0.9,-3.4,-2.9,4.6,1.8,2.3,5.555408848590156,7.030634905195706,7.195155354645971,8.860652147811503,10.714905227192181
Tuvalu,-0.7999999999999999,2.05,0.75,1.75,4.65,1.1,3.3,1.1,2.1,1.3,1.1,1.6,3.3499999999999996,2.15,6.0,3.75,2.3,-0.6,1.3,0.9,4.0,0.7,8.3,-4.4,-1.9,-3.7,1.3,6.9,6.6,-5.6,-2.5,7.5,-2.9,3.8,1.7,9.4,4.7,3.3,1.4,13.8,-4.3,1.8,0.7,4.3,-0.6601304786703741,1.8682862645007785,1.0458800593514568,2.4178404244387153,0.6683732466361805
"Türkiye, Republic of",-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10.0,2.1,0.3,9.3,0.9,6.0,8.0,-5.5,7.2,7.0,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.6,2.7,4.6022727272727275,4.6022727272727275,4.6022727272727275,4.6022727272727275,4.6022727272727275
Uganda,-3.4,3.9,8.2,4.9,-3.0,-3.0,0.9,4.0,8.3,6.4,6.5,1.8,5.9,6.7,7.7,9.2,6.6,4.6,6.1,8.0,3.9,8.8,7.1,6.2,5.8,10.0,7.0,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,8.0,0.2,6.8,5.5,7.8,-1.3,6.0,4.9,5.7,4.9558718614278074,4.9558718614278074,4.9558718614278074,4.9558718614278074,4.9558718614278074
Ukraine,2.7,2.9,3.4,3.65,2.85,0.7999999999999999,3.55,2.55,1.15,1.85,-6.4,-10.8,-9.9,-14.2,-22.9,-12.2,-10.0,-3.0,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0.0,-6.6,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-30.3,-3.0,-23.708760387564148,-19.96657392870867,-29.949893900235597,-24.507912711670766,-36.616422838820085
United Arab Emirates,-1.8,8.0,-7.2,-5.2,4.5,-2.5,-19.3,5.3,-2.6,15.7,23.6,2.1,3.1,0.0,7.4,6.6,5.3,8.6,0.8,3.8,12.3,1.3,2.5,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.8,5.1,4.2,6.8,5.6,0.7,1.3,1.1,-5.0,3.9,7.4,3.5,3.5113636363636367,3.5113636363636367,3.5113636363636367,3.5113636363636367,3.5113636363636367
United Kingdom,-2.2,-0.9,1.7,3.9,1.9,3.7,2.6,5.2,5.2,2.2,0.6,-1.7,0.0,2.1,3.5,2.1,1.9,4.5,3.2,3.0,4.1,2.2,1.8,3.1,2.3,2.7,2.2,2.6,-0.2,-4.5,2.4,1.1,1.4,1.8,3.2,2.4,2.2,2.4,1.7,1.6,-11.0,7.6,4.0,-0.3,1.8022727272727272,1.8022727272727272,1.8022727272727272,1.8022727272727272,1.8022727272727272
United States,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4.0,2.7,3.8,4.4,4.5,4.8,4.1,1.0,1.7,2.8,3.9,3.5,2.8,2.0,0.1,-2.6,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.2,2.9,2.3,-2.8,5.9,2.1,1.6,2.5477272727272733,2.5477272727272733,2.5477272727272733,2.5477272727272733,2.5477272727272733
Uruguay,6.0,1.9,-9.4,-5.9,-1.5,0.3,7.5,5.9,0.5,1.1,0.3,3.5,7.9,2.7,7.3,-1.4,5.6,5.0,4.5,-1.9,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.6,0.5,0.4,-6.1,4.4,4.9,2.0,2.135371526357867,2.1953515145200013,2.221927258154739,2.233702354672433,2.238919627231451
Uzbekistan,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,-11.1,-2.3,-5.2,-0.9,1.7,5.2,4.3,4.3,3.8,4.2,4.0,4.2,7.4,7.0,7.5,9.5,9.0,8.1,7.1,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.9,6.0,2.0,7.4,5.7,5.3,5.468054861805949,5.397448770364408,5.427113012714074,5.4146499623424456,5.419886152862157
Vanuatu,5.5,4.4,2.0,3.0,9.6,1.0,-0.1,-2.9,-1.7,1.5,11.7,3.1,2.6,0.7,9.1,1.0,2.3,4.9,1.2,0.3,5.9,-3.4,-5.2,4.3,4.0,5.3,8.5,2.9,5.6,3.0,1.3,3.1,1.0,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.0,0.6,1.9,3.5,2.672727272727273,2.672727272727273,2.672727272727273,2.672727272727273,2.672727272727273
Venezuela,-4.9,-1.3,2.6,-9.9,5.2,0.9,6.1,4.8,6.5,-13.9,6.5,9.7,6.1,0.3,-2.3,4.0,-0.2,6.4,0.3,-6.0,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17.0,-15.7,-19.7,-27.7,-30.0,0.5,8.0,5.0,14.071615040821117,31.956501384331773,36.989429052953554,40.85334178151281,51.8441028088832
Vietnam,-3.5,5.8,8.2,7.1,8.4,5.6,3.4,2.5,5.1,7.8,5.0,5.8,8.7,8.1,8.8,9.5,9.3,8.2,5.8,4.8,6.8,6.9,7.1,7.3,7.8,7.5,7.0,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7.0,6.7,6.9,7.5,7.4,2.9,2.6,8.0,5.8,3.7053595260858745,5.691312127860378,5.874531408212446,5.8914347847898805,5.892994250252082
West Bank and Gaza,3.6500000000000004,3.0,1.8,2.4,4.2,3.6,3.6500000000000004,3.55,4.1,3.8,3.6,2.3,3.1,2.5,3.55,7.1,1.2,14.7,14.3,8.3,-8.6,-9.3,-12.5,14.0,21.9,11.3,-1.0,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,7.0,4.0,3.5,2.926699556997603,3.734123861325311,4.281263407630669,4.479045844857265,4.192741627263166
Yemen,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,6.3,8.2,4.0,6.7,5.7,4.6,5.2,6.0,3.8,6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28.0,-9.4,-5.1,0.8,1.4,-8.5,-1.0,1.5,-0.5,-4.170607347623687,-2.047524456241866,-0.4341741410979607,-0.8126283644622098,-2.450020135264645
Zambia,3.9,6.6,-2.9,-1.1,-1.7,1.2,1.7,1.5,9.3,-3.7,-0.6,-0.7,2.1,-0.1,-13.3,2.9,6.2,3.8,-0.4,4.7,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4.0,1.4,-2.8,4.6,3.4,4.0,3.1237669200862195,3.1237669200862195,3.1237669200862195,3.1237669200862195,3.1237669200862195
Zimbabwe,1.6,1.9,2.2,1.4,3.7,4.1,3.1,3.3,5.1,4.0,3.5,2.1500000000000004,2.05,2.2,2.3,4.05,4.199999999999999,4.0,3.55,-1.1,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,19.7,14.2,16.7,2.0,2.4,1.8,0.5,5.0,4.7,-6.1,-7.8,8.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5
Africa (Region),2.45,2.5,1.8,1.4,3.7,4.3,3.1,2.7,4.4,3.8,3.2,2.3,0.1,0.9,2.5,2.6,5.0,3.2,4.0,3.1,4.3,4.5,4.9,5.5,5.9,5.9,5.5,6.1,5.2,3.0,5.9,2.7,6.2,3.7,3.8,3.4,2.2,3.5,3.4,3.0,-1.7,4.9,3.8,3.7,3.292788097873001,3.292788097873001,3.292788097873001,3.292788097873001,3.292788097873001
Asia and Pacific,4.4,5.2,4.2,5.4,6.5,5.8,5.4,6.8,7.8,5.4,5.6,4.9,5.5,5.2,5.5,6.4,6.5,4.7,1.4,4.5,5.6,3.7,5.0,6.1,6.9,7.3,7.7,8.6,5.0,4.2,8.3,6.4,5.6,5.8,5.6,5.6,5.4,5.7,5.3,4.1,-0.8,6.9,4.0,4.4,4.422937059863998,4.422937059863998,4.422937059863998,4.422937059863998,4.422937059863998
Australia and New Zealand,2.6,3.9,0.5,-0.4,6.4,4.8,2.4,4.5,3.7,4.1,1.3,-1.0,2.3,4.1,4.9,3.2,4.0,4.3,4.1,4.4,3.2,2.6,4.2,3.2,4.2,3.0,2.6,4.3,2.2,1.6,2.3,2.6,3.6,2.2,2.7,2.5,2.9,2.5,2.9,2.1,-1.8,5.3,3.5,1.5,3.50113303265538,2.610411114821253,3.198506087515262,2.810219137364818,3.066583776848956
Caribbean,4.3,2.2,0.2,-1.9,-0.2,-0.1,1.9,1.7,0.4,1.8,1.6,0.6,2.5,0.0,-0.5,5.0,4.2,3.6,3.1,3.8,3.2,1.7,2.8,5.8,3.2,3.4,6.5,3.7,1.8,-1.6,0.1,2.0,2.2,2.5,2.0,0.7,-0.8,0.4,1.7,0.7,-4.8,4.5,13.4,9.9,6.400000000043924,2.90000000008785,-0.5999999998682242,-4.099999999824298,-7.599999999780373
Central America,2.3,1.4,-1.8,0.9,2.1,0.2,2.2,4.4,0.1,3.2,1.8,2.2,7.3,5.4,3.4,4.7,3.8,5.6,5.4,4.1,3.6,2.2,3.4,2.1,3.8,5.6,7.0,7.0,4.4,-0.1,5.2,5.1,4.5,4.2,4.8,4.9,4.5,4.3,3.9,3.3,-7.2,11.0,5.3,3.8,3.9604548686441996,3.9604548686441996,3.9604548686441996,3.9604548686441996,3.9604548686441996
Central Asia and the Caucasus,5.7,6.1,4.75,5.449999999999999,6.550000000000001,4.55,4.6,4.7,6.6,4.85,5.5,5.8,6.5,2.1,-7.4,3.6,5.5,6.5,2.8,-1.0,7.2,-0.9,7.1,6.9,9.5,9.8,9.0,7.6,3.0,-1.0,8.0,9.4,5.1,7.4,4.8,4.9,2.8,6.3,3.3,1.9,0.6,9.6,5.3,3.1,2.8533311446235468,3.863803271124165,5.289185375247187,4.568172879578419,3.9463755108071696
East Asia,4.2,4.8,4.8,6.0,7.7,7.3,5.8,7.7,8.4,5.0,5.0,5.8,5.7,5.2,6.2,6.4,6.2,5.0,2.3,4.5,6.1,4.2,5.3,5.9,6.8,7.3,8.1,9.4,5.6,4.4,8.7,6.7,5.8,6.0,5.5,5.3,5.1,5.5,5.2,4.4,0.9,7.1,2.6,4.3,4.175223795719382,4.175223795719382,4.175223795719382,4.175223795719382,4.175223795719382
Eastern Europe ,-0.9,-2.6,0.5,4.5,2.9,1.6,3.1,2.4,1.4,0.1,-6.4,-10.2,-11.3,-6.8,-8.3,-1.6,-0.6,1.6,-1.3,3.7,7.2,4.5,4.3,6.1,7.2,5.7,7.5,7.7,4.8,-6.1,3.3,4.5,2.5,1.3,1.2,-0.1,1.4,3.2,3.8,3.0,-3.0,5.8,-0.6,0.6,-1.3067112712386262,1.2130479930538316,-1.8002290333967466,-1.204701754917449,-2.1275304555624124
Europe,1.4,0.0,0.7,2.0,2.5,2.5,2.7,2.9,3.9,3.4,2.4,1.0,-1.9,-1.8,0.2,1.6,1.2,2.7,2.1,3.1,4.6,2.7,1.8,2.3,3.5,2.9,4.3,4.2,1.6,-4.8,2.5,2.4,0.4,0.5,1.6,1.6,1.8,2.8,2.3,2.0,-5.5,5.7,2.4,0.6,0.17328819812912966,2.241576506565435,1.6534911380713768,1.143751734978722,1.1662266369014935
Middle East (Region),-3.5,0.4,-2.4,-1.1,-1.4,-1.6,1.9,-0.5,2.8,4.3,12.1,10.5,7.4,1.6,1.9,2.7,4.2,3.2,2.9,1.1,6.1,0.8,2.3,12.4,10.5,4.7,5.8,5.2,4.6,0.3,5.2,6.7,3.8,2.9,3.7,2.5,5.4,0.6,1.5,0.4,-3.6,4.3,6.2,2.7,2.329279654606759,2.654817982493944,2.654817982493944,2.654817982493944,2.654817982493944
North Africa,0.3,-3.6,5.5,3.6,3.5,5.3,0.5,-0.7,3.3,4.1,2.5,4.8,0.0,-0.3,3.4,0.3,5.2,2.6,5.7,4.0,4.3,3.8,3.0,6.3,4.6,5.4,4.6,5.5,4.7,2.8,4.5,-0.6,9.9,1.8,1.7,3.7,3.1,4.6,4.2,2.9,-1.8,5.4,4.1,4.0,3.2386363636363638,3.2386363636363638,3.2386363636363638,3.2386363636363638,3.2386363636363638
North America,1.0,3.3,-1.8,3.5,6.7,4.0,2.7,3.3,3.9,3.6,2.1,0.2,3.3,2.8,4.2,1.8,3.9,4.7,4.5,4.6,4.2,0.9,1.6,2.6,3.8,3.3,2.9,2.0,0.3,-2.9,3.0,1.9,2.4,1.8,2.4,2.6,1.7,2.3,2.8,2.0,-3.4,5.7,2.3,1.6,2.502272727272727,2.502272727272727,2.502272727272727,2.502272727272727,2.502272727272727
Pacific Islands ,-1.9,2.5,0.3,1.0,3.9,1.1,5.6,-0.1,2.8,4.0,0.5,5.0,10.6,9.1,8.6,-0.6,5.7,-4.4,3.4,3.7,-2.1,0.4,1.0,6.1,2.3,2.7,2.4,4.8,0.6,4.0,7.7,1.9,3.4,3.9,10.5,5.7,4.8,3.9,0.9,3.0,-6.2,-1.2,6.2,4.4,5.243453049505506,4.84822357910543,5.033422191362869,4.946640894544689,4.987305310900988
South America,5.7,-2.3,-0.4,-2.8,4.4,3.9,7.1,3.8,1.1,-0.1,-1.3,3.9,3.0,4.5,4.9,3.7,2.6,4.8,1.2,-1.3,3.2,0.9,0.3,2.1,7.3,5.1,5.7,6.8,5.0,-1.0,6.7,4.9,2.7,3.3,0.5,-1.1,-2.4,0.8,0.5,-0.1,-6.3,7.5,3.9,1.0,0.1004290882434189,2.6592241749192755,2.35214557287824,1.8469952744947178,1.5311517229233271
South Asia,5.2,6.0,4.2,6.7,4.1,5.7,4.9,4.1,8.3,5.5,5.3,2.4,5.5,4.3,6.2,6.9,7.3,4.0,5.4,7.4,4.2,4.3,3.8,7.2,7.5,8.9,8.5,8.9,4.2,7.1,9.0,6.3,5.4,6.0,6.9,7.3,7.6,6.6,6.4,3.9,-4.3,8.4,6.4,5.2,2.3654239824525676,5.569307105809054,5.270996607389141,4.921771331647389,4.1360060437755815
Southeast Asia,7.0,6.5,4.1,4.6,4.9,1.7,5.0,6.5,8.4,9.1,8.4,7.3,6.7,7.8,7.7,8.0,7.5,4.1,-7.5,3.3,5.8,3.3,5.1,5.8,6.5,5.7,6.0,6.6,5.2,2.4,7.4,5.0,6.1,5.1,4.8,4.9,5.1,5.4,5.3,4.7,-3.1,3.2,5.7,4.6,4.6,4.6,4.6,4.6,4.6
Sub-Saharan Africa (Region) ,2.4,2.5,1.8,1.4,3.7,4.199999999999999,3.1,2.75,5.05,3.8,3.2,0.5,0.3,1.7,1.9,4.2,4.8,3.6,2.8,2.5,4.2,5.0,6.2,4.9,6.7,6.2,6.1,6.5,5.5,3.2,6.7,4.5,3.9,4.8,4.9,3.3,1.6,2.9,3.0,3.0,-1.7,4.6,3.6,3.5,3.217241593829513,3.217241593829513,3.217241593829513,3.217241593829513,3.217241593829513
Western Europe,1.6,0.3,0.7,1.7,2.5,2.6,2.6,3.0,4.2,3.7,3.2,1.9,1.2,-0.2,2.7,2.5,1.7,3.0,3.1,3.0,3.9,2.1,1.1,1.1,2.3,1.9,3.1,2.8,0.3,-4.3,2.2,1.6,-0.4,0.2,1.7,2.2,1.9,2.6,1.8,1.6,-6.6,5.7,3.6,0.6,1.5404971826611187,1.5404971826611187,1.5404971826611187,1.5404971826611187,1.5404971826611187
Western Hemisphere (Region),2.2,2.0,-1.4,2.1,6.1,3.9,3.7,3.5,3.3,2.8,1.4,1.0,3.3,3.1,4.3,2.3,3.6,4.7,3.9,3.5,4.0,1.0,1.4,2.5,4.5,3.7,3.5,3.1,1.4,-2.4,3.8,2.6,2.5,2.2,2.0,1.8,0.9,2.0,2.4,1.6,-4.1,6.2,2.7,1.6,2.5045454545454544,2.5045454545454544,2.5045454545454544,2.5045454545454544,2.5045454545454544
ASEAN-5,7.7,6.5,3.8,4.5,4.6,1.3,5.2,6.9,8.8,9.4,8.7,7.5,6.6,7.9,7.7,7.9,7.4,3.8,-8.8,3.0,5.6,2.7,4.8,5.5,6.1,5.3,5.7,6.4,5.1,2.0,7.6,4.8,6.2,5.0,4.5,4.6,4.8,5.2,5.0,4.3,-4.4,4.0,5.5,4.5,4.5,4.5,4.5,4.5,4.5
Advanced economies,1.3,2.0,0.2,3.2,4.8,3.7,3.3,3.8,4.8,3.9,3.1,1.6,2.2,1.3,3.3,2.9,3.0,3.5,2.8,3.6,4.1,1.5,1.6,2.0,3.3,2.8,3.0,2.7,0.3,-3.4,3.2,1.7,1.2,1.4,2.0,2.3,1.8,2.5,2.3,1.7,-4.2,5.4,2.7,1.3,2.3068181818181817,2.3068181818181817,2.3068181818181817,2.3068181818181817,2.3068181818181817
Emerging and Developing Asia,6.3,5.9,5.1,7.0,7.5,6.6,6.2,7.2,9.3,6.3,5.9,6.1,8.9,9.0,9.3,8.9,8.4,6.1,2.8,6.5,6.5,6.0,6.6,8.3,8.4,9.3,10.1,11.2,7.3,7.6,9.6,7.9,7.0,6.9,6.9,6.8,6.8,6.6,6.4,5.2,-0.5,7.5,4.4,5.3,4.999537265711204,4.999537265711204,4.999537265711204,4.999537265711204,4.999537265711204
Emerging and Developing Europe,-0.8,-0.5,1.4,4.6,4.1,2.4,4.4,5.0,1.6,0.1,-0.4,-5.7,-8.7,-4.4,-8.4,-0.3,0.3,2.7,-0.8,2.6,7.5,2.7,4.8,6.2,7.9,6.3,7.4,7.2,4.3,-5.7,4.4,6.1,3.2,2.9,1.9,1.0,1.8,4.2,3.6,2.5,-1.6,7.3,0.8,1.2,1.4388972786588585,2.790170002006892,0.04073847196999747,0.8573621911798175,0.7940904645082423
Emerging market and developing economies,3.3,1.9,1.5,1.8,4.1,3.5,4.3,4.0,4.5,3.5,4.1,4.5,2.5,3.0,3.1,4.0,5.1,4.7,2.3,3.5,5.7,3.6,4.4,6.9,7.9,7.1,7.9,8.4,5.7,2.8,7.4,6.4,5.4,5.0,4.7,4.4,4.4,4.7,4.7,3.6,-1.8,6.9,4.0,3.9,3.8988477149110743,3.8988477149110743,3.8988477149110743,3.8988477149110743,3.8988477149110743
Euro area,3.1,1.1,1.5,1.8,2.85,2.2,2.7,3.6,4.6,4.5,3.8,1.8,1.4,-0.8,2.5,2.9,1.6,2.6,3.0,2.9,3.8,2.2,0.9,0.7,2.3,1.7,3.2,3.0,0.4,-4.5,2.1,1.7,-0.9,-0.2,1.4,2.0,1.9,2.6,1.8,1.6,-6.1,5.4,3.5,0.8,1.4018556633290462,1.4018556633290462,1.4018556633290462,1.4018556633290462,1.4018556633290462
European Union,1.8,0.1,0.6,1.7,2.5,2.2,2.7,2.6,3.8,3.6,2.7,1.4,1.0,-0.6,2.7,2.8,2.0,2.6,3.0,2.9,3.9,2.3,1.3,1.1,2.8,2.1,3.7,3.4,0.9,-4.2,2.1,2.0,-0.6,-0.1,1.7,2.5,2.0,3.0,2.3,2.0,-5.6,5.6,3.7,0.7,1.4738276016760024,1.9787780489264524,1.8784936874584703,1.7947763629853766,1.8069953885973937
Latin America and the Caribbean,6.4,0.9,-0.5,-2.8,3.9,3.2,4.3,3.3,1.1,1.1,0.6,3.8,3.3,4.0,4.7,1.3,3.8,5.3,2.5,0.2,3.7,0.6,0.4,2.0,6.1,4.4,5.4,5.6,4.0,-1.9,6.1,4.6,3.0,2.9,1.4,0.4,-0.6,1.4,1.2,0.2,-6.8,7.0,4.0,1.6,-0.9575722476958988,3.3444969363302106,2.8838384482447084,1.8993592188224644,0.998755819942799
Major advanced economies (G7),0.9,2.0,-0.1,3.3,5.0,3.8,3.0,3.5,4.7,3.8,2.8,1.2,2.1,1.1,3.0,2.5,2.7,3.2,2.9,3.2,3.8,1.2,1.1,1.9,2.9,2.5,2.5,2.1,0.0,-3.7,2.9,1.6,1.4,1.4,1.9,2.1,1.5,2.2,2.1,1.6,-4.5,5.3,2.3,1.1,2.0863636363636364,2.0863636363636364,2.0863636363636364,2.0863636363636364,2.0863636363636364
Middle East and Central Asia,-1.9,-0.2,0.4,0.7,0.3,1.2,2.0,-0.1,3.3,4.3,8.7,8.5,4.9,0.2,1.4,1.7,4.5,3.0,3.6,2.3,5.5,2.5,3.1,10.2,8.8,5.9,6.2,5.9,4.9,1.2,5.0,4.7,5.1,3.0,3.4,3.0,4.3,2.2,2.8,1.6,-2.7,4.6,5.3,2.9,2.9,2.9,2.9,2.9,2.9
Other advanced economies,3.8,4.2,2.2,4.0,6.6,4.3,5.5,6.5,5.5,4.6,4.3,3.7,4.0,4.2,6.2,5.3,4.9,4.7,1.0,5.5,5.9,2.2,3.9,2.8,5.3,4.2,4.8,5.2,1.8,-0.9,6.0,3.4,2.2,2.5,3.0,2.3,2.6,3.1,2.8,2.0,-1.6,5.4,2.6,1.8,2.8122625215958847,2.925295435285541,2.706986973519297,2.787833018427396,2.8994521355043448
Sub-Saharan Africa,2.45,2.5,1.8,1.4,3.7,4.3,3.1,2.7,5.0,3.8,3.2,0.2,0.0,1.6,1.8,3.9,4.8,3.5,2.4,2.4,4.0,4.6,6.3,4.8,6.9,6.3,6.0,6.6,5.7,3.6,6.9,5.0,4.8,4.9,5.0,3.2,1.5,2.9,3.2,3.3,-1.7,4.8,3.9,3.6,3.403654551337817,3.403654551337817,3.403654551337817,3.403654551337817,3.403654551337817
